"A0002600","R0000100","R0000300","R0000500","R0006500","R0007900","R0009100","R0173600","R0214700","R0214800","R0410100","R0410300","R0618301","T4181500","T4188900","T4189900","T4193600","T4201000","T4201100","T4246600","T4246700","T4253500","T4253600","T4254500","T4254600","T4255000","T4255100","T4259000","T4259100","T4282300","T4282800","T4282900","T4283300","T4429600","T4434100","T4467000","T4478200","T4478300","T4876800","T4890700","T4890800","T4890900","T4891000","T4891300","T4892000","T4892200","T4892300","T4892400","T4892500","T4892600","T4892700","T4892800","T4892900","T4894200","T4894300","T4894400","T4897200","T4897800","T4897900","T4898000","T4915800","T5019200","T5019300","T5019700","T5019900","T5022100","T5022300","T5022500","T5022600","T5022800","T5023100","T5023200","T5023300","T5024700","T5024800","T5024900","T5025000","T5025100","T5025900","T5026000","T5026200","T5031400","T5031500","T5031600","T5054600","T5058900"
-5,1,9,58,8,8,1,5,3,2,9,58,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,61,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,2,1,59,5,8,8,5,3,2,1,59,6841,11,-4,-4,-4,-4,12,1,-4,35,-4,35,-4,0,-4,1,-4,8680,4720,-4,1,0,0,7010,-4,-4,2,-4,0,0,0,-4,0,-4,-4,-4,0,-4,151,5,0,1,2,2,1,-4,-4,0,21000,590,-4,1153,-4,1064516,-4,4,35400,0,1,2,1,1820,52,0,0,0,1,2,3,2,2,21,1,1
458,3,8,61,10,12,3,5,3,2,-5,-5,49444,11,-4,-4,-4,-4,10,1,0,40,8,40,-4,0,-4,1,-4,8990,4320,60,2,0,0,5230,52,40,3,-4,0,0,0,-4,0,-4,-4,-4,1,1,160,5,10,1,2,1,1,-4,-4,0,40000,329,27,1923,721,729810,-4,2,90000,0,4,2,1,2010,52,0,0,0,1,3,18,3,0,-4,1,1
-5,4,8,62,11,12,3,5,3,2,8,62,55761,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,61,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-5,5,7,59,12,12,1,1,3,1,7,59,96772,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,61,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,6,10,60,12,12,1,1,3,1,10,60,99393,11,-4,-4,-4,-4,16,1,-4,40,-4,40,-4,5,-4,1,-4,7870,2710,-4,1,0,0,2200,48,55,-4,-4,0,0,0,-4,0,-4,-4,-4,0,-4,195,5,5,1,1,1,1,-4,-4,0,112000,1155,-4,5432,-4,952709,-4,5,182000,0,2,2,1,2080,52,0,0,0,1,2,12,3,3,19,1,1
-5,7,6,64,12,12,1,1,3,1,6,64,47412,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,65,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
458,8,7,58,9,6,7,6,3,2,7,58,44022,11,-4,-4,-4,-4,14,1,0,40,12,40,12,0,0,1,1,6870,5000,-4,2,1,0,2340,5,4,3,-4,0,0,0,-4,0,-4,-4,-4,0,-4,192,5,3,1,2,1,1,-4,-4,0,47000,484,3,2259,875,981777,-4,2,47000,0,1,2,1,2080,52,0,0,0,1,2,14,3,0,-4,1,1
458,9,7,63,12,10,4,1,3,1,7,63,59683,11,-4,-4,-4,-4,14,1,-4,55,-4,-4,-4,-4,-4,-4,-4,8770,10,-4,4,0,0,2320,26,9,-4,-4,0,0,0,-4,0,-4,-4,-4,0,-4,190,5,6,1,2,4,1,-4,-4,0,80000,1125,-4,2797,-4,880133,-4,3,160000,0,1,2,1,2860,52,0,0,0,1,2,5,2,1,22,1,1
-5,10,10,60,12,12,3,6,3,2,10,60,30039,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,61,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
